# Parameter Name     	 	 Median       	 	 Upper 68 CI  	 	 Lower 68 CI 
P_p1               	 	 3.3601627768 	 	 0.0000007967 	 	 0.0000008568
a_p1               	 	 18.8258528379 	 	 0.3866868205 	 	 0.5087137876
t0_p1              	 	 2458461.0148531268 	 	 0.0004403368 	 	 0.0004091961
b_p1               	 	 0.2544602192 	 	 0.1167490197 	 	 0.1250937152
P_p2               	 	 5.6605755512 	 	 0.0000029246 	 	 0.0000029056
a_p2               	 	 26.6535320005 	 	 0.5474761738 	 	 0.7202252335
t0_p2              	 	 2458463.0871371296 	 	 0.0002748221 	 	 0.0002609105
b_p2               	 	 0.2294498448 	 	 0.1077595403 	 	 0.1150588819
P_p3               	 	 11.3796588893 	 	 0.0000038041 	 	 0.0000040070
a_p3               	 	 42.4554850143 	 	 0.8720461227 	 	 1.1472397466
t0_p3              	 	 2458469.3342474815 	 	 0.0006134445 	 	 0.0005836301
b_p3               	 	 0.1683982239 	 	 0.0764699274 	 	 0.0878037106
sesinomega_p1      	 	 -0.0259360515 	 	 0.1326914375 	 	 0.1414590276
secosomega_p1      	 	 0.0209301530 	 	 0.1838648653 	 	 0.1867338470
ecc_p1             	 	 0.0387396824 	 	 0.0492404741 	 	 0.0276147861
omega_p1           	 	 -16.4360133569 	 	 129.3010616085 	 	 112.9905014745
sesinomega_p2      	 	 0.0227279028 	 	 0.1280626922 	 	 0.1360288912
secosomega_p2      	 	 0.0080433285 	 	 0.1212454361 	 	 0.1192668490
ecc_p2             	 	 0.0237472011 	 	 0.0262607070 	 	 0.0166150498
omega_p2           	 	 23.4613036935 	 	 102.3167489238 	 	 124.2964031242
sesinomega_p3      	 	 -0.0071371432 	 	 0.1255433705 	 	 0.1077504526
secosomega_p3      	 	 0.0780901195 	 	 0.1577600214 	 	 0.1819599626
ecc_p3             	 	 0.0342698310 	 	 0.0407918332 	 	 0.0244972614
omega_p3           	 	 -3.4499300469 	 	 94.7798170152 	 	 98.7872629588
rho                	 	 11178.8062782375 	 	 703.0971737887 	 	 881.9578729415
K_p1               	 	 1.2971979585 	 	 0.2558915824 	 	 0.2668737954
K_p2               	 	 4.0492317091 	 	 0.3103745025 	 	 0.3024771909
K_p3               	 	 2.6015782468 	 	 0.2753703594 	 	 0.2746119664
mu_ESPRESSO        	 	 -1.1452070350 	 	 2.6227513393 	 	 3.2331384842
sigma_w_ESPRESSO   	 	 1.0834402308 	 	 0.1265509886 	 	 0.0623585071
mu_HARPS           	 	 -0.1386574267 	 	 1.4158525360 	 	 1.2133125615
